symbol,date,type,value,message
GOOGL,2024-12-11,EXTREME_MOVE,5.524647385755821,Mouvement de prix extrême: 5.52%
GOOGL,2025-01-27,EXTREME_MOVE,-4.19559844246109,Mouvement de prix extrême: -4.20%
GOOGL,2025-02-05,EXTREME_MOVE,-7.292368252242653,Mouvement de prix extrême: -7.29%
GOOGL,2025-03-10,EXTREME_MOVE,-4.485781227065488,Mouvement de prix extrême: -4.49%
GOOGL,2025-03-28,EXTREME_MOVE,-4.875490270461058,Mouvement de prix extrême: -4.88%
GOOGL,2025-04-03,EXTREME_MOVE,-4.024442502894066,Mouvement de prix extrême: -4.02%
GOOGL,2025-04-09,EXTREME_MOVE,9.682104090518063,Mouvement de prix extrême: 9.68%
GOOGL,2025-04-10,EXTREME_MOVE,-3.7111733007789804,Mouvement de prix extrême: -3.71%
GOOGL,2025-05-07,EXTREME_MOVE,-7.259681958467656,Mouvement de prix extrême: -7.26%
GOOGL,2025-05-12,EXTREME_MOVE,3.7381332657963284,Mouvement de prix extrême: 3.74%
GOOGL,2025-06-20,EXTREME_MOVE,-3.854148767904275,Mouvement de prix extrême: -3.85%
GOOGL,2025-09-03,EXTREME_MOVE,9.136500745700982,Mouvement de prix extrême: 9.14%
GOOGL,2025-09-15,EXTREME_MOVE,4.489201587040781,Mouvement de prix extrême: 4.49%
GOOGL,2025-11-10,EXTREME_MOVE,4.0418965226070025,Mouvement de prix extrême: 4.04%
NVDA,2024-02-05,HIGH_VOLUME,680078000.0,"Volume anormalement élevé: 680,078,000"
NVDA,2024-02-06,HIGH_VOLUME,683111000.0,"Volume anormalement élevé: 683,111,000"
NVDA,2024-02-12,HIGH_VOLUME,613710000.0,"Volume anormalement élevé: 613,710,000"
NVDA,2024-02-20,HIGH_VOLUME,704833000.0,"Volume anormalement élevé: 704,833,000"
NVDA,2024-02-21,HIGH_VOLUME,673755000.0,"Volume anormalement élevé: 673,755,000"
NVDA,2024-02-22,HIGH_VOLUME,865100000.0,"Volume anormalement élevé: 865,100,000"
NVDA,2024-02-23,HIGH_VOLUME,829388000.0,"Volume anormalement élevé: 829,388,000"
NVDA,2024-03-04,HIGH_VOLUME,615616000.0,"Volume anormalement élevé: 615,616,000"
NVDA,2024-03-08,HIGH_VOLUME,1142269000.0,"Volume anormalement élevé: 1,142,269,000"
NVDA,2024-03-11,HIGH_VOLUME,678364000.0,"Volume anormalement élevé: 678,364,000"
NVDA,2024-03-12,HIGH_VOLUME,668075000.0,"Volume anormalement élevé: 668,075,000"
NVDA,2024-03-13,HIGH_VOLUME,635713000.0,"Volume anormalement élevé: 635,713,000"
NVDA,2024-03-15,HIGH_VOLUME,642086000.0,"Volume anormalement élevé: 642,086,000"
NVDA,2024-03-18,HIGH_VOLUME,668976000.0,"Volume anormalement élevé: 668,976,000"
NVDA,2024-03-19,HIGH_VOLUME,672171000.0,"Volume anormalement élevé: 672,171,000"
NVDA,2024-04-19,HIGH_VOLUME,875198000.0,"Volume anormalement élevé: 875,198,000"
NVDA,2024-05-23,HIGH_VOLUME,835065000.0,"Volume anormalement élevé: 835,065,000"
NVDA,2024-05-28,HIGH_VOLUME,652728000.0,"Volume anormalement élevé: 652,728,000"
NVDA,2024-05-31,HIGH_VOLUME,613263000.0,"Volume anormalement élevé: 613,263,000"
NVDA,2024-06-06,HIGH_VOLUME,664696000.0,"Volume anormalement élevé: 664,696,000"
NVDA,2024-06-21,HIGH_VOLUME,649445800.0,"Volume anormalement élevé: 649,445,800"
NVDA,2025-01-27,HIGH_VOLUME,818830900.0,"Volume anormalement élevé: 818,830,900"
